Domain name,Domain type,Organization name,Suborganization name,City,State,Security contact email
29palms.gov,City,Non-Federal Agency,,Twentynine Palms,CA,(blank)
36thdistrictcourtmi.gov,City,Non-Federal Agency,,Detroit,MI,govdnssecurity@36thdistrictcourt.org
3statedistrictcourtar.gov,City,Non-Federal Agency,,Berryville,AR,(blank)
59dcmi.gov,City,Non-Federal Agency,,Walker,MI,soc@walker.city
abbevillecitymarshal.gov,City,Non-Federal Agency,,Abbeville,LA,reggie.hilts@abbmarshals.org
aberdeenmd.gov,City,Non-Federal Agency,,Aberdeen,MD,(blank)
aberdeensd.gov,City,Non-Federal Agency,,Aberdeen,SD,(blank)
aberdeenwa.gov,City,Non-Federal Agency,,Aberdeen,WA,rlampky@aberdeenwa.gov
abilenetx.gov,City,Non-Federal Agency,,Abilene,TX,phillip.brewer@abilenetx.gov
abingdon-va.gov,City,Non-Federal Agency,,Abingdon,VA,itdept@abingdon-va.gov
abingtonma.gov,City,Non-Federal Agency,,Abington,MA,wnorling@abingtonma.gov
abingtonpa.gov,City,Non-Federal Agency,,Abington,PA,nvasserman@AbingtonPA.gov
abitaspringsla.gov,City,Non-Federal Agency,,Abita Springs,LA,support@abitaspringsla.gov
abseconnj.gov,City,Non-Federal Agency,,Absecon,NJ,support@macregsolutions.com
accessprincetonnj.gov,City,Non-Federal Agency,,Princeton,NJ,pdepasquale@princetonnj.gov
acnj.gov,City,Non-Federal Agency,,Atlantic City,NJ,pquinlan@cityofatlanticcity.org
acnjpolice.gov,City,Non-Federal Agency,,Atlantic City,NJ,pquinlan@cityofatlanticcity.org
acton-ma.gov,City,Non-Federal Agency,,Acton,MA,it@actonma.gov
actonma.gov,City,Non-Federal Agency,,Acton,MA,it@actonma.gov
acushnet.gov,City,Non-Federal Agency,,Acushnet,MA,it@acushnet.ma.us
acworth-ga.gov,City,Non-Federal Agency,,Acworth,GA,it@acworth-ga.gov
adairia.gov,City,Non-Federal Agency,,Adair,IA,tim@wwadair.com
adak-ak.gov,City,Non-Federal Agency,,Adak,AK,adak@adak-ak.gov
adamn.gov,City,Non-Federal Agency,,Ada,MN,dmarcussen@adamn.gov
adaoh.gov,City,Non-Federal Agency,,Ada,OH,klauria@adaoh.gov
addisontownshipmi.gov,City,Non-Federal Agency,,Leonard,MI,(blank)
addisontx.gov,City,Non-Federal Agency,,Dallas,TX,(blank)
addisonvt.gov,City,Non-Federal Agency,,Addison,VT,security@civally.com
addisonwi.gov,City,Non-Federal Agency,,Allenton,WI,clerk@addisonwi.org
adelantoca.gov,City,Non-Federal Agency,,Adelanto,CA,cvergara@adelantoca.gov
adeliowa.gov,City,Non-Federal Agency,,Adel,IA,(blank)
adrianmi.gov,City,Non-Federal Agency,,Adrian,MI,(blank)
adriantwpmi.gov,City,Non-Federal Agency,,Adrian,MI,bmeloche@adriantwpmi.gov
aftonwyoming.gov,City,Non-Federal Agency,,AFTON,WY,vsanderson@aftonwyoming.gov
agourahillscity.gov,City,Non-Federal Agency,,Agoura Hills,CA,(blank)
ahoskienc.gov,City,Non-Federal Agency,,Ahoskie,NC,ebarnes@cocentral.com
ainsworthiowa.gov,City,Non-Federal Agency,,Ainsworth,IA,clerk@ainsworthiowa.gov
akronohio.gov,City,Non-Federal Agency,,Akron,OH,infrastructure@akronohio.gov
akronohiorescue.gov,City,Non-Federal Agency,,Akron,OH,infrastructure@akronohio.gov
alamedaca.gov,City,Non-Federal Agency,,Alameda,CA,jlim@alamedaca.gov
alamogordo.gov,City,Non-Federal Agency,,Alamogordo,NM,(blank)
alamoheightstx.gov,City,Non-Federal Agency,,Alamo Heights,TX,jreyna@alamoheightstx.gov
alamosa.gov,City,Non-Federal Agency,,Alamosa,CO,info@ci.alamosa.co.us
alamotownshipmi.gov,City,Non-Federal Agency,,Kalamazoo,MI,kps@shumakergroup.com
albanyca.gov,City,Non-Federal Agency,,Albany,CA,security@albanyca.org
albanyga.gov,City,Non-Federal Agency,,Albany,GA,jdemott@albanyga.gov
albanyla.gov,City,Non-Federal Agency,,Albany,LA,(blank)
albanyny.gov,City,Non-Federal Agency,,Albany,NY,networkadministrator@albanyny.gov
albanyoregon.gov,City,Non-Federal Agency,,Albany,OR,domain-security@albanyoregon.gov
albemarlenc.gov,City,Non-Federal Agency,,Albemarle,NC,itdept@ci.albemarle.nc.us
alberttwpmi.gov,City,Non-Federal Agency,,Lewiston,MI,sales@beardedbinyl.com
albertvillemn.gov,City,Non-Federal Agency,,Albertville,MN,tinal@albertvillemn.gov
albuquerque-nm.gov,City,Non-Federal Agency,,Albuquerque,NM,(blank)
aldanpa.gov,City,Non-Federal Agency,,Aldan,PA,support@go2tech.com
aledoil.gov,City,Non-Federal Agency,,Aledo,IL,cityclerk@aledoil.org
aledotx.gov,City,Non-Federal Agency,,Aledo,TX,techsupport+coal@isogent.com
aleknagikak.gov,City,Non-Federal Agency,,Aleknagik,AK,tech@aleknagikak.gov
alexandercityal.gov,City,Non-Federal Agency,,Alexander City,AL,support@alexandercityal.gov
alexandriaky.gov,City,Non-Federal Agency,,Alexandria,KY,(blank)
alexandrianh.gov,City,Non-Federal Agency,,Alexandria,NH,klavelle@ccsnh.com
alexandrianj.gov,City,Non-Federal Agency,,Milford,NJ,(blank)
alexandriaoh.gov,City,Non-Federal Agency,,ALEXANDRIA,OH,(blank)
alexandriatn.gov,City,Non-Federal Agency,,Alexandria,TN,chiefvturocy@gmail.com
alexandriava.gov,City,Non-Federal Agency,,Alexandria,VA,security@alexandriava.gov
alfordma.gov,City,Non-Federal Agency,,Alford,MA,(blank)
alfredme.gov,City,Non-Federal Agency,,Alfred,ME,(blank)
alfredvillage.gov,City,Non-Federal Agency,,Alfred,NY,(blank)
