Domain name,Domain type,Organization name,Suborganization name,City,State,Security contact email
29palms.gov,City,City of Twentynine Palms,organization_name,Twentynine Palms,CA,(blank)
36thdistrictcourtmi.gov,City,36th District Court,organization_name,Detroit,MI,govdnssecurity@36thdistrictcourt.org
3statedistrictcourtar.gov,City,Third Judicial District - Berryville Division,organization_name,Berryville,AR,(blank)
59dcmi.gov,City,59th District Court,organization_name,Walker,MI,soc@walker.city
abbevillecitymarshal.gov,City,Abbeville City Marshal Office,organization_name,Abbeville,LA,reggie.hilts@abbmarshals.org
aberdeenmd.gov,City,City of Aberdeen,organization_name,Aberdeen,MD,(blank)
aberdeensd.gov,City,City of Aberdeen,organization_name,Aberdeen,SD,(blank)
aberdeenwa.gov,City,City of Aberdeen,organization_name,Aberdeen,WA,rlampky@aberdeenwa.gov
abilenetx.gov,City,City of Abilene,organization_name,Abilene,TX,phillip.brewer@abilenetx.gov
abingdon-va.gov,City,Town of Abingdon,organization_name,Abingdon,VA,itdept@abingdon-va.gov
abingtonma.gov,City,Town of Abington,organization_name,Abington,MA,wnorling@abingtonma.gov
abingtonpa.gov,City,Abington Township,organization_name,Abington,PA,nvasserman@AbingtonPA.gov
abitaspringsla.gov,City,Town Of Abita Springs,organization_name,Abita Springs,LA,support@abitaspringsla.gov
abseconnj.gov,City,City of Absecon,organization_name,Absecon,NJ,support@macregsolutions.com
accessprincetonnj.gov,City,Princeton,organization_name,Princeton,NJ,pdepasquale@princetonnj.gov
acnj.gov,City,City of Atlantic City,organization_name,Atlantic City,NJ,pquinlan@cityofatlanticcity.org
acnjpolice.gov,City,City of Atlantic City,organization_name,Atlantic City,NJ,pquinlan@cityofatlanticcity.org
acton-ma.gov,City,"Town of Acton, Massachusetts",organization_name,Acton,MA,it@actonma.gov
actonma.gov,City,"Town of Acton, Massachusetts",organization_name,Acton,MA,it@actonma.gov
acushnet.gov,City,Town of Acushnet,organization_name,Acushnet,MA,it@acushnet.ma.us
acworth-ga.gov,City,City of Acworth,organization_name,Acworth,GA,it@acworth-ga.gov
adairia.gov,City,City of Adair,organization_name,Adair,IA,tim@wwadair.com
adak-ak.gov,City,City of Adak,organization_name,Adak,AK,adak@adak-ak.gov
adamn.gov,City,City Of Ada,organization_name,Ada,MN,dmarcussen@adamn.gov
adaoh.gov,City,Village of Ada Ohio,organization_name,Ada,OH,klauria@adaoh.gov
addisontownshipmi.gov,City,Addison Townhsip,organization_name,Leonard,MI,(blank)
addisontx.gov,City,Town Of Addison,organization_name,Dallas,TX,(blank)
addisonvt.gov,City,Town of Addison Vermont,organization_name,Addison,VT,security@civally.com
addisonwi.gov,City,Town of Addison,organization_name,Allenton,WI,clerk@addisonwi.org
adelantoca.gov,City,City of Adelanto,organization_name,Adelanto,CA,cvergara@adelantoca.gov
adeliowa.gov,City,City of Adel,organization_name,Adel,IA,(blank)
adrianmi.gov,City,City of Adrian,organization_name,Adrian,MI,(blank)
adriantwpmi.gov,City,Adrian Charter Township,organization_name,Adrian,MI,bmeloche@adriantwpmi.gov
aftonwyoming.gov,City,TOWN OF AFTON,organization_name,AFTON,WY,vsanderson@aftonwyoming.gov
agourahillscity.gov,City,City of Agoura Hills,organization_name,Agoura Hills,CA,(blank)
ahoskienc.gov,City,Town of Ahoskie,organization_name,Ahoskie,NC,ebarnes@cocentral.com
ainsworthiowa.gov,City,City of Ainsworth,organization_name,Ainsworth,IA,clerk@ainsworthiowa.gov
akronohio.gov,City,"City of Akron, Ohio",organization_name,Akron,OH,infrastructure@akronohio.gov
akronohiorescue.gov,City,"City of Akron, Ohio",organization_name,Akron,OH,infrastructure@akronohio.gov
alamedaca.gov,City,City of Alameda,organization_name,Alameda,CA,jlim@alamedaca.gov
alamogordo.gov,City,City of Alamogordo,organization_name,Alamogordo,NM,(blank)
alamoheightstx.gov,City,City of Alamo Heights,organization_name,Alamo Heights,TX,jreyna@alamoheightstx.gov
alamosa.gov,City,City of Alamosa,organization_name,Alamosa,CO,info@ci.alamosa.co.us
alamotownshipmi.gov,City,Alamo Township,organization_name,Kalamazoo,MI,kps@shumakergroup.com
albanyca.gov,City,Citiy of Albany,organization_name,Albany,CA,security@albanyca.org
albanyga.gov,City,City of Albany,organization_name,Albany,GA,jdemott@albanyga.gov
albanyla.gov,City,Town of Albany,organization_name,Albany,LA,(blank)
albanyny.gov,City,City of Albany,organization_name,Albany,NY,networkadministrator@albanyny.gov
albanyoregon.gov,City,"City of Albany, Oregon",organization_name,Albany,OR,domain-security@albanyoregon.gov
albemarlenc.gov,City,City of Albemarle,organization_name,Albemarle,NC,itdept@ci.albemarle.nc.us
alberttwpmi.gov,City,Township of Albert,organization_name,Lewiston,MI,sales@beardedbinyl.com
albertvillemn.gov,City,City of Albertville,organization_name,Albertville,MN,tinal@albertvillemn.gov
albuquerque-nm.gov,City,City of Albuquerque ,organization_name,Albuquerque,NM,(blank)
aldanpa.gov,City,Aldan Borough,organization_name,Aldan,PA,support@go2tech.com
aledoil.gov,City,City of Aledo,organization_name,Aledo,IL,cityclerk@aledoil.org
aledotx.gov,City,City of Aledo,organization_name,Aledo,TX,techsupport+coal@isogent.com
aleknagikak.gov,City,City of Aleknagik,organization_name,Aleknagik,AK,tech@aleknagikak.gov
alexandercityal.gov,City,City of Alexander City,organization_name,Alexander City,AL,support@alexandercityal.gov
alexandriaky.gov,City,City of Alexandria,organization_name,Alexandria,KY,(blank)
alexandrianh.gov,City,Town of Alexandria,organization_name,Alexandria,NH,klavelle@ccsnh.com
alexandrianj.gov,City,Alexandria Township,organization_name,Milford,NJ,(blank)
alexandriaoh.gov,City,"Village of Alexandria, Ohio",organization_name,ALEXANDRIA,OH,(blank)
alexandriatn.gov,City,Town of Alexandria,organization_name,Alexandria,TN,chiefvturocy@gmail.com
alexandriava.gov,City,City of Alexandria,organization_name,Alexandria,VA,security@alexandriava.gov
alfordma.gov,City,"Town of Alford, Massachusetts",organization_name,Alford,MA,(blank)
alfredme.gov,City,Town of Alfred,organization_name,Alfred,ME,(blank)
alfredvillage.gov,City,Village of Alfred,organization_name,Alfred,NY,(blank)
algonaiowa.gov,City,City of Algona,organization_name,Algona,IA,securitysupport@accesssystems.com
algonawa.gov,City,City Of Algona,organization_name,Algona,WA,(blank)
algoodtn.gov,City,City Of Algood,organization_name,Algood,TN,(blank)
alhambraca.gov,City,City of Alhambra,organization_name,Alhambra,CA,(blank)
aliquippapa.gov,City,City of Aliquippa,organization_name,Aliquippa,PA,(blank)
alisoviejo.gov,City,City of Aliso Viejo,organization_name,Aliso Viejo,CA,IAziz@AlisoViejo.gov
allegany.gov,City,Town and Village of Allegany,organization_name,Allegany,NY,(blank)
allendalemi.gov,City,Allendale Charter Township,organization_name,Allendale,MI,(blank)
allendalenj.gov,City,Borough of Allendale,organization_name,Allendale,NJ,jim@cobancomputers.com
allenstownnh.gov,City,Town of Allenstown,organization_name,Allenstown,NH,townadmin@allenstownnh.gov
allentownpa.gov,City,City of Allentown,organization_name,Allentown,PA,(blank)
allentx.gov,City,City of Allen,organization_name,Allen,TX,italerts@cityofallen.org
allianceoh.gov,City,City of Alliance,organization_name,Alliance,OH,(blank)
almaarkansas.gov,City,City of Alma,organization_name,Alma,AR,administrator@cityofalma.org
almacenterwi.gov,City,Village of Alma Center,organization_name,Alma Center,WI,almacenterwigov@computerguts.net
almenatownship.gov,City,Almena Township,organization_name,Paw Paw,MI,markroman2005@comcast.net
almiratownshipmi.gov,City,Almira Township,organization_name,Lake Ann,MI,(blank)
almontmichigan.gov,City,Village of Almont,organization_name,Almont,MI,(blank)
alpharettaga.gov,City,City of Alpharetta,organization_name,Alpharetta,GA,domainregistration@alpharetta.ga.us
alpinenj.gov,City,Borough of Alpine New Jersey,organization_name,Alpine,NJ,(blank)
alpinetwp.gov,City,Township of Alpine,organization_name,Comstock Park,MI,(blank)
alpineut.gov,City,Alpine City Corporation,organization_name,Alpine,UT,(blank)
alpinewy.gov,City,Town of Alpine,organization_name,Alpine,WY,alpine@silverstar.com
alsteadnh.gov,City,Town of Alstead,organization_name,Alstead,NH,servicedesk@charlandtech.com
